market_open,market_close,market_date,market_date_ts,market_open_ts,market_close_ts,day,month,year,day_of_week_str,day_of_week,half_day,is_earnings_season,is_last_trading_of_month,is_options_expiration
09:30:00,16:00:00,2020-01-22,1579669200.0,1579703400.0,1579726800.0,22,1,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-01-23,1579755600.0,1579789800.0,1579813200.0,23,1,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-01-24,1579842000.0,1579876200.0,1579899600.0,24,1,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-01-27,1580101200.0,1580135400.0,1580158800.0,27,1,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-01-28,1580187600.0,1580221800.0,1580245200.0,28,1,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-01-29,1580274000.0,1580308200.0,1580331600.0,29,1,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-01-30,1580360400.0,1580394600.0,1580418000.0,30,1,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-01-31,1580446800.0,1580481000.0,1580504400.0,31,1,2020,Friday,4,0,1,1,0
09:30:00,16:00:00,2020-02-03,1580706000.0,1580740200.0,1580763600.0,3,2,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-02-04,1580792400.0,1580826600.0,1580850000.0,4,2,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-02-05,1580878800.0,1580913000.0,1580936400.0,5,2,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-02-06,1580965200.0,1580999400.0,1581022800.0,6,2,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-02-07,1581051600.0,1581085800.0,1581109200.0,7,2,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-02-10,1581310800.0,1581345000.0,1581368400.0,10,2,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-02-11,1581397200.0,1581431400.0,1581454800.0,11,2,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-02-12,1581483600.0,1581517800.0,1581541200.0,12,2,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-02-13,1581570000.0,1581604200.0,1581627600.0,13,2,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-02-14,1581656400.0,1581690600.0,1581714000.0,14,2,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-02-18,1582002000.0,1582036200.0,1582059600.0,18,2,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-02-19,1582088400.0,1582122600.0,1582146000.0,19,2,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-02-20,1582174800.0,1582209000.0,1582232400.0,20,2,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-02-21,1582261200.0,1582295400.0,1582318800.0,21,2,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-02-24,1582520400.0,1582554600.0,1582578000.0,24,2,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-02-25,1582606800.0,1582641000.0,1582664400.0,25,2,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-02-26,1582693200.0,1582727400.0,1582750800.0,26,2,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-02-27,1582779600.0,1582813800.0,1582837200.0,27,2,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-02-28,1582866000.0,1582900200.0,1582923600.0,28,2,2020,Friday,4,0,0,1,0
09:30:00,16:00:00,2020-03-02,1583125200.0,1583159400.0,1583182800.0,2,3,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-03-03,1583211600.0,1583245800.0,1583269200.0,3,3,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-03-04,1583298000.0,1583332200.0,1583355600.0,4,3,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-03-05,1583384400.0,1583418600.0,1583442000.0,5,3,2020,Thursday,3,0,0,0,0
